size	name	color	coding_start	coding_end	start_phase	end_phase
30	1	#4C72B7	0	30	0	1
30	2	#4C72B7	0	30	1	0
30	3	#4C72B7	0	30	0	0
30	4	#4C72B7	0	30	0	0
30	5	#4C72B7	0	30	0	0
30	6	#4C72B7	0	30	0	2
30	7	#4C72B7	0	30	2	1
30	8	#4C72B7	0	30	1	0
30	9	#4C72B7	0	30	0	0
30	10	#4C72B7	0	30	0	0
30	11	#4C72B7	0	30	0	2
30	12	#4C72B7	0	30	2	0
30	13	#4C72B7	0	30	0	0
30	14	#4C72B7	0	30	0	0
30	15	#4C72B7	0	30	0	0
30	16	#4C72B7	0	30	0	0
30	17	#4C72B7	0	30	0	2
30	18	#4C72B7	0	30	2	0
30	19	#4C72B7	0	30	0	1
30	20	#4C72B7	0	30	1	0
30	21	#4C72B7	0	30	0	1
30	22	#4C72B7	0	30	1	0
30	23	#4C72B7	0	30	0	0
30	24	#4C72B7	0	30	0	0
30	25	#4C72B7	0	30	0	0
30	26	#4C72B7	0	30	0	0
30	27	#4C72B7	0	30	0	0
30	28	#4C72B7	0	30	0	0
30	29	#4C72B7	0	30	0	0
30	30	#4C72B7	0	30	0	0
30	31	#4C72B7	0	30	0	0
30	32	#4C72B7	0	30	0	0
30	33	#4C72B7	0	30	0	0
30	34	#4C72B7	0	30	0	0
30	35	#4C72B7	0	30	0	0
30	36	#4C72B7	0	30	0	0
30	37	#4C72B7	0	30	0	0
30	38	#4C72B7	0	30	0	0
30	39	#4C72B7	0	30	0	0
30	40	#4C72B7	0	30	0	0
30	41	#4C72B7	0	30	0	0
30	42	#4C72B7	0	30	0	0
30	43	#4C72B7	0	30	0	2
30	44	#4C72B7	0	30	2	0
30	45	#4C72B7	0	30	0	2
30	46	#4C72B7	0	30	2	0
30	47	#4C72B7	0	30	0	0
30	48	#4C72B7	0	30	0	0
30	49	#4C72B7	0	30	0	0
30	50	#4C72B7	0	30	0	1
30	51	#4C72B7	0	30	1	0
30	52	#4C72B7	0	30	0	1
30	53	#4C72B7	0	30	1	0
30	54	#4C72B7	0	30	0	2
30	55	#4C72B7	0	30	2	0
30	56	#4C72B7	0	30	0	2
30	57	#4C72B7	0	30	2	0
30	58	#4C72B7	0	30	0	1
30	59	#4C72B7	0	30	1	0
30	60	#4C72B7	0	30	0	0
30	61	#4C72B7	0	30	0	1
30	62	#4C72B7	0	30	1	2
30	63	#4C72B7	0	30	2	1
30	64	#4C72B7	0	30	1	1
30	65	#4C72B7	0	30	1	2
30	66	#4C72B7	0	30	2	1
30	67	#4C72B7	0	30	1	0
30	68	#4C72B7	0	30	0	2
30	69	#4C72B7	0	30	2	0
30	70	#4C72B7	0	30	0	2
30	71	#4C72B7	0	30	2	2
30	72	#4C72B7	0	30	2	2
30	73	#4C72B7	0	30	2	2
30	74	#4C72B7	0	30	2	2
30	75	#4C72B7	0	30	2	0
30	76	#4C72B7	0	30	0	1
30	77	#4C72B7	0	30	1	1
30	78	#4C72B7	0	30	1	0
30	79	#4C72B7	0	30	0	0
